date,latitude,longitude,depth,mag,status,locationSource,magSource,is_replica
23896,-13.9,-76.4,82,4.7,automatic,IGP,IGP,0
23897,-9.166,-78.961,72,4.8,automatic,IGP,IGP,0
23898,-13.74,-71.6,73,4.7,automatic,IGP,IGP,1
23901,-4.01,-78.2,33,4.7,automatic,IGP,IGP,0
23911,-4.67,-80.6,33,4.7,automatic,IGP,IGP,1
23911,-11.217,-73.661,111,5.6,automatic,IGP,IGP,0
23914,-3.67,-77.89,25,4.9,automatic,IGP,IGP,0
23917,-18.375,-70.133,85,5.3,automatic,IGP,IGP,0
23917,-15.62,-70.61,191,4.8,automatic,IGP,IGP,1
23919,-9.124,-72.975,49,4.9,automatic,IGP,IGP,1
23920,-2.634,-77.018,121,5.3,automatic,IGP,IGP,0
23923,-14.638,-75.948,38,4.5,automatic,IGP,IGP,0
23925,-7.65,-76.93,42,4.9,automatic,IGP,IGP,0
23925,-7.75,-76.9,49,4.9,automatic,IGP,IGP,0
23931,-9.7,-79.7,33,4.8,automatic,IGP,IGP,1
23932,-7.7,-80.8,33,4.9,automatic,IGP,IGP,1
23936,-13.2,-75.1,102,4.5,automatic,IGP,IGP,1
23936,-3.2,-77.7,90,4.9,automatic,IGP,IGP,0
23937,-17.65,-69.42,141,5.3,automatic,IGP,IGP,1
23938,-6.6,-80.9,36,4.9,automatic,IGP,IGP,1
23946,-8.868,-79.43,48,5.5,automatic,IGP,IGP,1
23947,-3.5,-78.1,33,4.7,automatic,IGP,IGP,0
23951,-15.7,-73.9,92,4.6,automatic,IGP,IGP,0
23953,-18.139,-70.823,74,5.6,automatic,IGP,IGP,0
23953,-15.1,-70.8,192,4.6,automatic,IGP,IGP,0
23955,-4.88,-80.9,66,4.5,automatic,IGP,IGP,0
23955,-16.7,-71.4,97,4.6,automatic,IGP,IGP,0
23957,-7.429,-81.365,27,6,automatic,IGP,IGP,0
23961,-9.2,-78.7,70,4.9,automatic,IGP,IGP,1
23967,-4.34,-81.08,38,5.6,automatic,IGP,IGP,0
23976,-7.86,-74.57,146,4.9,automatic,IGP,IGP,1
23977,-13.1,-75.2,107,4.7,automatic,IGP,IGP,1
23979,-17.599,-69.771,143,5.2,automatic,IGP,IGP,0
23991,-9.3,-75.9,31,4.9,automatic,IGP,IGP,1
23993,-11.1,-73.8,99,4.8,automatic,IGP,IGP,1
23996,-11.4,-75.3,33,4.6,automatic,IGP,IGP,1
23999,-12.09,-72.57,72,4.8,automatic,IGP,IGP,1
23999,-9.89,-76.1,142,5.2,automatic,IGP,IGP,0
24001,-17.2,-70.7,141,4.8,automatic,IGP,IGP,1
24004,-16.33,-74.916,30,5,automatic,IGP,IGP,1
24005,-17.3,-70.5,127,4.9,automatic,IGP,IGP,1
24005,-6.43,-74.93,138,5.3,automatic,IGP,IGP,1
24009,-9.44,-79.14,37,4.8,automatic,IGP,IGP,0
24011,-13,-70.3,37,4.8,automatic,IGP,IGP,0
24019,-10.9,-75,33,4.7,automatic,IGP,IGP,1
24021,-9.8,-74.9,122,4.9,automatic,IGP,IGP,0
24023,-8.263,-75.895,140,5.3,automatic,IGP,IGP,0
24025,-7.7,-74.6,140,4.8,automatic,IGP,IGP,1
24026,-3.6,-77.35,146,4.5,automatic,IGP,IGP,1
24032,-16.1,-73.5,106,4.9,automatic,IGP,IGP,0
24034,-8.5,-74.4,112,4.7,automatic,IGP,IGP,1
24049,-9.121,-71.303,592,6.1,automatic,IGP,IGP,0
24052,-9.299,-79.099,20,4.9,automatic,IGP,IGP,0
24056,-17.89,-69.52,143,4.8,automatic,IGP,IGP,0
24067,-11.3,-73.5,80,4.7,automatic,IGP,IGP,0
24069,-18.1,-70.7,93,4.9,automatic,IGP,IGP,0
24070,-9.5,-74.8,125,4.9,automatic,IGP,IGP,1
24072,-4.7,-77.14,123,4.9,automatic,IGP,IGP,0
24075,-6.075,-78.714,28,5.6,automatic,IGP,IGP,1
24075,-6.8,-80.1,33,4.6,automatic,IGP,IGP,1
24076,-18.427,-71.292,26,4.9,automatic,IGP,IGP,1
24076,-8.34,-74.15,179,5.3,automatic,IGP,IGP,1
24078,-16.471,-69.594,192,5.3,automatic,IGP,IGP,1
24079,-3.525,-77.881,30,5.1,automatic,IGP,IGP,0
24079,-4.5,-79.9,89,4.9,automatic,IGP,IGP,0
24083,-3.5,-78.2,42,4.9,automatic,IGP,IGP,0
24084,-15.5,-74.7,79,4.8,automatic,IGP,IGP,1
24086,-6.483,-81.163,10,4.9,automatic,IGP,IGP,0
24087,-6.4,-81.3,33,4.7,automatic,IGP,IGP,1
24090,-18.347,-70.957,71,4.9,automatic,IGP,IGP,1
24095,-14.855,-73.509,94,5.3,automatic,IGP,IGP,0
24104,-3.191,-77.159,19,5.7,automatic,IGP,IGP,1
